filepath,label,speaker_id,system_id,attack_type,codec_aug,is_augmented
datasets/processed/benchmark_audio/LA_0005_000_bonafide.wav,0,LA_0005,-,bonafide,none,0
datasets/processed/augmented_audio/aug_00000_noise_snr_15_LA_0005_000_bonafide.wav,0,LA_0005,-,bonafide+noise_snr_15,noise_snr_15,1
datasets/processed/benchmark_audio/LA_0005_001_spoof.wav,1,LA_0005,A02,Neural TTS (Tacotron2 + WaveRNN),none,0
datasets/processed/augmented_audio/aug_00001_noise_snr_15_LA_0005_001_spoof.wav,1,LA_0005,A02,Neural TTS (Tacotron2 + WaveRNN)+noise_snr_15,noise_snr_15,1
datasets/processed/benchmark_audio/LA_0005_002_bonafide.wav,0,LA_0005,-,bonafide,none,0
datasets/processed/augmented_audio/aug_00002_opus_16k_LA_0005_002_bonafide.wav,0,LA_0005,-,bonafide+opus_16k,opus_16k,1
datasets/processed/benchmark_audio/LA_0005_003_spoof.wav,1,LA_0005,A04,Traditional TTS (Unit Selection),none,0
datasets/processed/augmented_audio/aug_00003_g711_ulaw_LA_0005_003_spoof.wav,1,LA_0005,A04,Traditional TTS (Unit Selection)+g711_ulaw,g711_ulaw,1
datasets/processed/benchmark_audio/LA_0005_004_bonafide.wav,0,LA_0005,-,bonafide,none,0
datasets/processed/augmented_audio/aug_00004_packet_loss_10_LA_0005_004_bonafide.wav,0,LA_0005,-,bonafide+packet_loss_10,packet_loss_10,1
datasets/processed/benchmark_audio/LA_0005_005_spoof.wav,1,LA_0005,A06,Voice Conversion (Spectral Transfer),none,0
datasets/processed/augmented_audio/aug_00005_amr_nb_LA_0005_005_spoof.wav,1,LA_0005,A06,Voice Conversion (Spectral Transfer)+amr_nb,amr_nb,1
datasets/processed/benchmark_audio/LA_0005_006_bonafide.wav,0,LA_0005,-,bonafide,none,0
datasets/processed/augmented_audio/aug_00006_amr_nb_LA_0005_006_bonafide.wav,0,LA_0005,-,bonafide+amr_nb,amr_nb,1
datasets/processed/benchmark_audio/LA_0005_007_spoof.wav,1,LA_0005,A02,Neural TTS (Tacotron2 + WaveRNN),none,0
datasets/processed/augmented_audio/aug_00007_amr_nb_LA_0005_007_spoof.wav,1,LA_0005,A02,Neural TTS (Tacotron2 + WaveRNN)+amr_nb,amr_nb,1
datasets/processed/benchmark_audio/LA_0005_008_bonafide.wav,0,LA_0005,-,bonafide,none,0
datasets/processed/augmented_audio/aug_00008_noise_snr_15_LA_0005_008_bonafide.wav,0,LA_0005,-,bonafide+noise_snr_15,noise_snr_15,1
datasets/processed/benchmark_audio/LA_0005_009_spoof.wav,1,LA_0005,A04,Traditional TTS (Unit Selection),none,0
datasets/processed/augmented_audio/aug_00009_packet_loss_10_LA_0005_009_spoof.wav,1,LA_0005,A04,Traditional TTS (Unit Selection)+packet_loss_10,packet_loss_10,1
datasets/processed/benchmark_audio/LA_0004_000_bonafide.wav,0,LA_0004,-,bonafide,none,0
datasets/processed/augmented_audio/aug_00010_packet_loss_10_LA_0004_000_bonafide.wav,0,LA_0004,-,bonafide+packet_loss_10,packet_loss_10,1
datasets/processed/benchmark_audio/LA_0004_001_spoof.wav,1,LA_0004,A02,Neural TTS (Tacotron2 + WaveRNN),none,0
datasets/processed/augmented_audio/aug_00011_aac_32k_LA_0004_001_spoof.wav,1,LA_0004,A02,Neural TTS (Tacotron2 + WaveRNN)+aac_32k,aac_32k,1
datasets/processed/benchmark_audio/LA_0004_002_bonafide.wav,0,LA_0004,-,bonafide,none,0
datasets/processed/augmented_audio/aug_00012_opus_16k_LA_0004_002_bonafide.wav,0,LA_0004,-,bonafide+opus_16k,opus_16k,1
datasets/processed/benchmark_audio/LA_0004_003_spoof.wav,1,LA_0004,A04,Traditional TTS (Unit Selection),none,0
datasets/processed/augmented_audio/aug_00013_opus_16k_LA_0004_003_spoof.wav,1,LA_0004,A04,Traditional TTS (Unit Selection)+opus_16k,opus_16k,1
datasets/processed/benchmark_audio/LA_0004_004_bonafide.wav,0,LA_0004,-,bonafide,none,0
datasets/processed/augmented_audio/aug_00014_noise_snr_15_LA_0004_004_bonafide.wav,0,LA_0004,-,bonafide+noise_snr_15,noise_snr_15,1
datasets/processed/benchmark_audio/LA_0004_005_spoof.wav,1,LA_0004,A06,Voice Conversion (Spectral Transfer),none,0
datasets/processed/augmented_audio/aug_00015_noise_snr_15_LA_0004_005_spoof.wav,1,LA_0004,A06,Voice Conversion (Spectral Transfer)+noise_snr_15,noise_snr_15,1
datasets/processed/benchmark_audio/LA_0004_006_bonafide.wav,0,LA_0004,-,bonafide,none,0
datasets/processed/augmented_audio/aug_00016_opus_16k_LA_0004_006_bonafide.wav,0,LA_0004,-,bonafide+opus_16k,opus_16k,1
datasets/processed/benchmark_audio/LA_0004_007_spoof.wav,1,LA_0004,A02,Neural TTS (Tacotron2 + WaveRNN),none,0
datasets/processed/augmented_audio/aug_00017_aac_32k_LA_0004_007_spoof.wav,1,LA_0004,A02,Neural TTS (Tacotron2 + WaveRNN)+aac_32k,aac_32k,1
datasets/processed/benchmark_audio/LA_0004_008_bonafide.wav,0,LA_0004,-,bonafide,none,0
datasets/processed/augmented_audio/aug_00018_packet_loss_10_LA_0004_008_bonafide.wav,0,LA_0004,-,bonafide+packet_loss_10,packet_loss_10,1
datasets/processed/benchmark_audio/LA_0004_009_spoof.wav,1,LA_0004,A04,Traditional TTS (Unit Selection),none,0
datasets/processed/augmented_audio/aug_00019_amr_nb_LA_0004_009_spoof.wav,1,LA_0004,A04,Traditional TTS (Unit Selection)+amr_nb,amr_nb,1
datasets/processed/benchmark_audio/LA_0009_000_bonafide.wav,0,LA_0009,-,bonafide,none,0
datasets/processed/augmented_audio/aug_00020_opus_16k_LA_0009_000_bonafide.wav,0,LA_0009,-,bonafide+opus_16k,opus_16k,1
datasets/processed/benchmark_audio/LA_0009_001_spoof.wav,1,LA_0009,A02,Neural TTS (Tacotron2 + WaveRNN),none,0
datasets/processed/augmented_audio/aug_00021_noise_snr_15_LA_0009_001_spoof.wav,1,LA_0009,A02,Neural TTS (Tacotron2 + WaveRNN)+noise_snr_15,noise_snr_15,1
datasets/processed/benchmark_audio/LA_0009_002_bonafide.wav,0,LA_0009,-,bonafide,none,0
datasets/processed/augmented_audio/aug_00022_g711_ulaw_LA_0009_002_bonafide.wav,0,LA_0009,-,bonafide+g711_ulaw,g711_ulaw,1
datasets/processed/benchmark_audio/LA_0009_003_spoof.wav,1,LA_0009,A04,Traditional TTS (Unit Selection),none,0
datasets/processed/augmented_audio/aug_00023_aac_32k_LA_0009_003_spoof.wav,1,LA_0009,A04,Traditional TTS (Unit Selection)+aac_32k,aac_32k,1
datasets/processed/benchmark_audio/LA_0009_004_bonafide.wav,0,LA_0009,-,bonafide,none,0
datasets/processed/augmented_audio/aug_00024_noise_snr_15_LA_0009_004_bonafide.wav,0,LA_0009,-,bonafide+noise_snr_15,noise_snr_15,1
datasets/processed/benchmark_audio/LA_0009_005_spoof.wav,1,LA_0009,A06,Voice Conversion (Spectral Transfer),none,0
